location,iso_code,population,total_deaths_per_million,mortality_rate,health_expenditure_pct_gdp,hospital_beds_per_1000,life_expectancy_years
Greenland,GRL,56494,374.91,0.1754239411912121,,,71.549756097561
Grenada,GRD,125459,2035.44,1.2105798575788402,4.94846392,3.18,75.205
Guam,GUM,171783,2488.0,0.8230205454763908,,,77.209
Guatemala,GTM,17843914,1120.02,1.671902338823262,7.44098806,0.44,72.602
Guinea,GIN,13859349,33.16,1.2195441103347204,3.95847702,0.3,60.74
Guinea-Bissau,GNB,2105580,83.59,1.9671398234044932,8.11358356,,64.085
Guyana,GUY,808727,1565.17,1.7860118882284317,3.00636959,2.59,70.18
Haiti,HTI,11585003,74.76,2.535975465911772,3.20848918,4.77,64.936
Honduras,HND,10432858,1057.26,2.3858869706805264,8.28209972,0.66,72.884
Hungary,HUN,9967304,5001.8,2.220527097270171,6.3573041,6.84,76.7707317073171
Iceland,ISL,372903,489.0,0.08976270793820851,8.99166012,2.83,82.6073170731707
India,IND,1417173120,372.31,1.187841038763791,3.3058846,1.6,72.003
Indonesia,IDN,275501344,575.75,2.3903221560531045,2.69394851,1.36,71.146
Iran,IRN,88550568,1616.02,1.913479000906129,5.34889174,1.86,77.654
Iraq,IRQ,44496124,575.76,1.0292154574581613,4.29332495,1.3,72.324
Ireland,IRL,5023108,1651.07,0.49930049403348636,6.11978531,2.91,82.8609756097561
Isle of Man,IMN,84534,1378.59,0.3051989054935803,,,80.999
Israel,ISR,9449000,1321.08,0.2528221222089918,7.34161806,3.06,83.1951219512195
Italy,ITA,59037472,3089.08,0.7348934696163122,8.51808929,3.18,83.7
Jamaica,JAM,2827382,1219.73,2.2664947542721756,7.77706337,1.68,71.479
Japan,JPN,123951696,446.51,0.1974534787851515,11.42183685,12.72,84.0412195121951
Jordan,JOR,11285875,1254.59,0.8083585718807761,6.82820034,1.38,77.814
Kazakhstan,KAZ,19397998,951.2,1.2770896536102896,3.74026752,6.72,74.402
Kenya,KEN,54027484,104.84,1.6608754051449761,4.32603645,1.33,63.646
Kiribati,KIR,131237,99.63,0.37900874635568516,10.49855042,1.86,66.473
Kuwait,KWT,4268886,559.97,0.3876799242138545,4.26875782,2.35,83.1878048780488
Kyrgyzstan,KGZ,6630621,147.22,1.1576507828839522,4.92258883,4.23,72.2487804878049
Laos,LAO,7529477,88.77,0.3083044632929306,2.01825476,1.31,68.964
Latvia,LVA,1850654,3727.16,0.7223969855304223,7.62168407,5.3,75.6780487804878
Lebanon,LBN,5489744,1870.31,0.8791237564702822,5.73500204,2.73,77.817
Lesotho,LSO,2305826,308.82,2.046970136271383,12.65127754,,57.375
Liberia,LBR,5302690,54.72,3.6521739130434785,13.47386169,1.59,62.163
Libya,LBY,6812344,891.08,1.2693223116376564,4.65005827,3.2,69.339
Liechtenstein,LIE,39355,2211.71,0.40881537521733,,,84.8414634146342
Lithuania,LTU,2750058,3361.47,0.7361870656853949,7.29381466,5.96,76.9878048780488
Luxembourg,LUX,647601,1461.77,0.26173920908166537,5.78284121,4.15,83.3585365853659
Madagascar,MDG,29611718,46.52,2.0904997416402153,3.25023246,0.32,63.632
Malawi,MWI,20405318,130.54,3.04559891107078,6.50023508,1.3,67.353
Malaysia,MYS,33938216,1061.66,0.733282025821242,3.90591931,2.01,76.657
Maldives,MDV,523798,593.38,0.16749426426394082,9.65276241,5.04,81.041
Mali,MLI,22593598,32.2,2.2674560546875,3.67284775,0.25,60.439
Malta,MLT,533293,1578.96,0.7174995913521511,9.52376747,4.38,83.5073170731707
Marshall Islands,MHL,41593,424.0,0.10936695831188882,11.73604298,2.73,66.945
Mauritania,MRT,4736146,204.49,1.5718610077568265,4.48389912,,68.484
Mauritius,MUS,1299478,814.18,0.3567920990638929,5.82381678,3.71,73.4121951219512
Mexico,MEX,127504120,2576.11,4.57274010812094,5.72145176,1.02,75.069
Micronesia (country),FSM,114178,517.28,0.2628120893561104,10.34470272,,67.198
Moldova,MDA,3272993,3924.03,2.001174299614159,6.96505404,5.66,71.198
Monaco,MCO,36491,1668.85,0.3954011801204453,3.39779735,22.02,86.372
Mongolia,MNG,3398373,630.83,0.21204907307949658,8.85170174,10.55,72.1224390243902
Montenegro,MNE,627082,4256.08,1.0722497981334,10.92241859,3.81,77.5878048780488
Morocco,MAR,37457976,436.5,1.281736629632077,5.68049145,0.73,75.313
Mozambique,MOZ,32969520,68.29,0.965493354115253,8.77717781,0.73,63.611
Myanmar,MMR,54179312,362.56,3.0760149744638676,5.20476246,1.06,66.889
Namibia,NAM,2567024,1412.62,2.3972562515415965,9.29635525,,67.385
Nauru,NRU,12691,84.6,0.02164033758926639,18.17031097,4.88,62.109
Nepal,NPL,30547586,404.47,1.200740085077815,6.65589333,0.39,70.354
Netherlands,NLD,17564020,1283.26,0.2682211101080577,10.10068321,2.91,81.9146341463415
New Caledonia,NCL,289959,1093.58,0.3966549607134736,,,78.766
New Zealand,NZL,5185289,445.85,0.11282156982733074,10.02858067,2.66,83.0048780487805
Nicaragua,NIC,6948395,36.4,1.5945330296127564,8.95364857,0.9,74.947
Niger,NER,26207982,12.4,3.310141260805397,4.35259724,0.27,61.183
Nigeria,NGA,218541216,14.14,1.184242628981101,4.27090406,,54.462
North Korea,PRK,26069416,0.0,,,13.2,73.642
North Macedonia,MKD,2093606,5366.7,2.8577381159068023,7.6204114,4.22,75.3160975609756
Northern Mariana Islands,MNP,49574,889.35,0.309761257177395,,,78.808
Norway,NOR,5434324,869.56,0.3217987635331809,7.94803333,3.4,83.1121951219512
Oman,OMN,4576300,978.39,1.1590050787863004,2.9162159,1.16,80.031
Pakistan,PAK,235824864,125.71,1.944275731110506,2.90434051,0.51,67.649
Palau,PLW,18084,506.07,0.15080428954423591,14.28555965,4.32,69.269
Palestine,PSE,5250076,1075.91,0.8116855415313383,9.73336029,,65.17
Panama,PAN,4408582,1946.7,0.8368025099191427,8.46561432,1.92,79.594
Papua New Guinea,PNG,10142625,65.57,1.4327936263171421,2.61825109,0.17,66.134
Paraguay,PRY,6780745,2908.97,2.7234719073581934,7.73804235,1.01,73.844
Peru,PER,34049588,6512.45,4.911419314054453,6.0930872,1.6,77.74
Philippines,PHL,115559008,572.65,1.6076882885000108,5.10629606,0.96,69.833
Poland,POL,39857144,3086.43,1.8612394354337258,7.00451565,6.11,78.5073170731707
Portugal,PRT,10270857,2474.11,0.4643308576707825,10.00331116,3.53,82.2804878048781
Puerto Rico,PRI,3252412,1709.67,0.48990353117797,,,81.69
Qatar,QAT,2695131,236.82,0.1403725918928168,2.18112326,1.12,82.368
Romania,ROU,19659270,3513.42,2.0375195761150824,5.7490139,7.06,76.6073170731707
Russia,RUS,144713312,2702.18,1.8074697766414825,6.91986275,7.03,73.2546341463415
Rwanda,RWA,13776702,107.46,1.103671381281974,7.8792119,0.74,67.785
Saint Kitts and Nevis,KNA,47681,984.36,0.7010057909174032,5.56801701,4.33,72.145
Saint Lucia,LCA,179872,2287.55,1.3748823450315988,5.01938295,1.96,72.697
Saint Martin (French part),MAF,31816,1591.81,0.37766830870279144,,,80.224
Saint Vincent and the Grenadines,VCT,103959,1156.16,1.2393656128557924,4.68767738,4.2,71.23
Samoa,WSM,222390,134.72,0.17824216349108787,6.3012085,,71.698
San Marino,SMR,33690,3547.04,0.5259268918155344,7.40650225,3.38,85.706
Sao Tome and Principe,STP,227393,340.24,1.2263099219620959,7.46419811,2.89,69.718
Saudi Arabia,SAU,36408824,295.51,1.150023102062736,4.62462378,2.15,78.732
Senegal,SEN,17316452,111.49,2.2137232845894266,4.06358385,0.73,68.683
Serbia,SRB,6871547,2576.12,0.7170875465727765,9.65742779,5.35,76.2209756097561
Seychelles,SYC,107135,1370.17,0.34157481878661505,4.2375164,3.19,74.9585365853659
Sierra Leone,SLE,8605723,15.1,1.610824742268041,7.94752312,,61.786
Singapore,SGP,5637022,302.84,0.0779893248977843,4.89702511,2.65,82.8951219512195
Sint Maarten (Dutch part),SXM,44192,2110.86,0.8099745176556243,,,76.371
Slovakia,SVK,5643455,3800.89,1.1192309409814563,7.73064041,5.68,78.0170731707317
Slovenia,SVN,2119843,4160.78,0.6765820804533815,9.41330814,4.25,81.9780487804878
Solomon Islands,SLB,724272,195.88,0.7079727916338902,4.82369328,1.4,70.528
Somalia,SOM,17597508,76.45,4.985347985347985,2.62183189,0.87,58.816
South Africa,ZAF,59893884,1644.29,2.533649257256007,8.77086639,2.28,66.139
South Korea,KOR,51815808,615.69,0.11124581742140485,9.88014412,12.75,83.4292682926829
South Sudan,SSD,10913172,12.52,0.7513066202090593,6.76125622,,57.617
Spain,ESP,47558632,2486.87,0.8647279432687637,9.73828793,2.94,83.8829268292683
Sri Lanka,LKA,21832150,736.37,2.502787076301144,4.36269855,4.02,77.483
Sudan,SDN,46874200,101.13,7.8411053540587226,4.61874437,0.66,66.331
Suriname,SUR,618046,2235.33,1.7075054240570722,5.91760969,2.89,73.631
Sweden,SWE,10549349,2098.05,0.8235022442990538,10.88682365,2.05,83.309756097561
Switzerland,CHE,8740471,1576.97,0.31690812864207213,11.70653343,4.44,84.0560975609756
Syria,SYR,22125242,140.82,5.508245824843703,4.15098715,1.43,72.12
Tajikistan,TJK,9952789,12.28,0.7027999550208028,7.62917423,4.32,71.79
Tanzania,TZA,65497752,13.06,1.9952303369459987,3.1119566,0.63,66.995
Thailand,THA,71697024,468.3,0.7114647609559728,5.35470581,2.34,76.412
Togo,TGO,8848700,31.9,0.737144454894385,6.04134083,0.58,62.739
